file_sha_a,file_sha_b,similarity,source
00cdc51b3b16983b4ee4bc749eb324acb45264f5,0188e26d755c5ab328ac023bc3089c7fce7e7cfb,0.589,differing
00a5f0f2eca49fa4b3e676f0d1fbd046b1849a6f,018a846459a0d45f75e60bbda5e5976075296112,0.538,differing
018a846459a0d45f75e60bbda5e5976075296112,01ac0d7bc2e2c61a6086097931f97a5b63e1fe10,0.548,differing
0026c686c6bc2672e6036341d5ee06bad2a4857a,019500369d7f6f3932679399a85612c74d32ff36,0.736,differing
0026c686c6bc2672e6036341d5ee06bad2a4857a,01a59e947fbd5666b971f4966550471407d35926,0.667,differing
01120a26b73993c8acb870d784c896d6412cd94f,019500369d7f6f3932679399a85612c74d32ff36,0.624,differing
01120a26b73993c8acb870d784c896d6412cd94f,01a59e947fbd5666b971f4966550471407d35926,0.796,differing
007f37e2a5244bfd0536118a7d0968cdbe6cfe0f,008736fc00e200f7efbd5df346b24fff0a464d18,0.936,differing
0097355413b21b06628f9c0464303bbe179d3f4a,01a4f971ff1585831c066eac58f5015e4d25cc25,0.887,differing
0022c93ff7f75c54f87ced79d5d3339935342944,003f518f937bc77673988c60edd081adbdeb4b51,0.901,differing
0022c93ff7f75c54f87ced79d5d3339935342944,00635498f2915bb2aecfbdfe5a2185a09f367d9e,0.749,differing
003f518f937bc77673988c60edd081adbdeb4b51,00635498f2915bb2aecfbdfe5a2185a09f367d9e,0.743,differing
003f518f937bc77673988c60edd081adbdeb4b51,01444cec7244a3f1218629d0a16de40bd5d4a739,0.765,differing
00635498f2915bb2aecfbdfe5a2185a09f367d9e,01444cec7244a3f1218629d0a16de40bd5d4a739,0.701,differing
008695c2239c7ef3aa4fb1f350443643a08dc087,00b12cf20bb58d9f9ce0774001b7175b2df0db63,0.981,differing
00b12cf20bb58d9f9ce0774001b7175b2df0db63,00e6f65adfb2d9e167d01d850f6a79673047e2b7,0.987,differing
00b12cf20bb58d9f9ce0774001b7175b2df0db63,00f9364c767e7188545dc1269547e8777ffe8a40,0.886,differing
00b12cf20bb58d9f9ce0774001b7175b2df0db63,01483d2613b14de0d0dad862f8851df4c4f8eaf9,0.936,differing
00acd0dc576747edbfccaacff7799bdcad7768ae,0181a2c951f8741b58b0df437757278c3a147796,0.817,random
00f623c23a48c1657fddffdd524847459d9890c0,01abbe971cd71177acc899774394787b9247b32b,0.579,random
01239f10c3bb75cd478fc24f44b9d95125af5ae5,0140e1452831920ad9808caf6f278527404d3ca9,0.968,random
