file_sha,stratum,rule_ids
01570f1ae5a1d813af27dd2d8f3089e7fd7b46c6,CREDENTIALS,R-SHL-001;R-CRD-001
00ba580d3441a17cc93c5da4b0cb904022640eec,CREDENTIALS,R-NET-001;R-CRD-001;R-CRD-002
0067c2d984987704e79ec14bd2d55ebb44dfcf9b,CREDENTIALS,R-SHL-001;R-DST-001;R-CRD-001;R-CRD-002
012eda01ab668a6f461371cbbd543606d5cf70cd,CREDENTIALS,R-RCE-001;R-NET-001;R-CRD-001
012ce4e12f6594a56f6b86bf68196074fd446e03,CREDENTIALS,R-SHL-001;R-DST-001;R-PRV-002;R-CRD-001;R-TGR-001;R-TGR-002
017f98ab84a380c3edf30b470d1ca43448254a99,CREDENTIALS,R-NET-002;R-PRV-001;R-CRD-001;R-PER-001
0004314a114a096862e9a3a835acdda28b8b1692,CREDENTIALS,R-RCE-001;R-SHL-001;R-NET-001;R-DST-001;R-PRV-003;R-CRD-001;R-CRD-002
00f5ecd39875bea42d3ca1c7ae1c9c3cdb7b9d6d,CREDENTIALS,R-SHL-001;R-CRD-001
01453c2297b7e3af88e29f3d91424d6891fe1240,CREDENTIALS,R-SHL-001;R-CRD-001
0035fe1d82573786ed18d01e5f30ebda01ceec2b,CREDENTIALS,R-SHL-001;R-CRD-001
00652eb326b2a7a67d09bfa0a161a6ab0b4ab885,DESTRUCTIVE,R-DST-001
001e5344cd831468474b8d49437dc9ede02efc52,DESTRUCTIVE,R-SHL-001;R-DST-001
005dc0cb2c08aa3dc10144ee2e291a332219c543,DESTRUCTIVE,R-SHL-001;R-DST-001
000e79c10ed3d61b4c2015b9531e8b4c4abea08a,DESTRUCTIVE,R-SHL-001;R-DST-001
0028d31a7a876a8c253a34f62a0290fe8eee3129,DESTRUCTIVE,R-SHL-001;R-NET-001;R-DST-001;R-PRV-001
00477027e3301176ab85207f28837f9828932bfb,DESTRUCTIVE,R-SHL-001;R-DST-001;R-PRV-003
002b02be65803cd852f813b6b77c1e45c39afafb,DESTRUCTIVE,R-SHL-001;R-NET-001;R-DST-001;R-PRV-001
00ae3b3fc1689a5a8a6c187ed1c50e6c78fb5c8f,DESTRUCTIVE,R-SHL-001;R-DST-001
0036fb0494de2d83b4c38db8e5fee7592ba6eb1c,DESTRUCTIVE,R-DST-001
0044b086eccf3b98fffa6486d769a310a27fd6cd,DESTRUCTIVE,R-SHL-001;R-DST-001
007b5a93ad53dc1b010d6ffbc4169f84e42acb95,DYNAMIC_EXEC,R-NET-001;R-EXE-001
01345cc3135ee8d4cd460b23ef5a5e3b81ca4160,DYNAMIC_EXEC,R-EXE-001
0058b51aff02bee6bf6785c573bacbf8a0dc6162,DYNAMIC_EXEC,R-RCE-001;R-SHL-001;R-NET-001;R-NET-002;R-EXE-001;R-OBF-001
