category,max_rule_severity,contents,content_share,occurrences,occurrence_share
SHELL,3,4351,0.3347,10921,0.3666
TOOL_GRANT,6,1287,0.099,3222,0.1082
CREDENTIALS,8,1000,0.0769,2702,0.0907
NETWORK,7,855,0.0658,2610,0.0876
PRIVILEGE,6,207,0.0159,1196,0.0402
DESTRUCTIVE,6,173,0.0133,726,0.0244
OVERSIGHT_BYPASS,8,109,0.0084,219,0.0074
DYNAMIC_EXEC,6,100,0.0077,347,0.0116
PERSISTENCE,7,91,0.007,512,0.0172
REMOTE_CODE,9,73,0.0056,170,0.0057
OBFUSCATION,7,27,0.0021,70,0.0024
EXFIL_ENDPOINT,8,8,0.0006,10,0.0003
