rule_id,category,severity,contents,content_share,occurrences,occurrence_share
R-RCE-001,REMOTE_CODE,9,71,0.0055,168,0.0056
R-RCE-002,REMOTE_CODE,9,8,0.0006,17,0.0006
R-SHL-001,SHELL,3,4351,0.3347,10921,0.3666
R-NET-001,NETWORK,4,851,0.0655,2587,0.0869
R-NET-002,NETWORK,7,21,0.0016,79,0.0027
R-EXF-001,EXFIL_ENDPOINT,8,8,0.0006,10,0.0003
R-DST-001,DESTRUCTIVE,6,173,0.0133,726,0.0244
R-PRV-001,PRIVILEGE,6,140,0.0108,817,0.0274
R-PRV-002,PRIVILEGE,5,7,0.0005,198,0.0066
R-PRV-003,PRIVILEGE,3,76,0.0058,409,0.0137
R-CRD-001,CREDENTIALS,8,65,0.005,252,0.0085
R-CRD-002,CREDENTIALS,5,938,0.0722,2559,0.0859
R-CRD-003,CREDENTIALS,4,41,0.0032,52,0.0017
R-TGR-001,TOOL_GRANT,6,511,0.0393,1121,0.0376
R-TGR-002,TOOL_GRANT,1,1282,0.0986,3215,0.1079
R-OVR-001,OVERSIGHT_BYPASS,8,109,0.0084,219,0.0074
R-EXE-001,DYNAMIC_EXEC,6,100,0.0077,347,0.0116
R-PER-001,PERSISTENCE,7,91,0.007,512,0.0172
R-OBF-001,OBFUSCATION,7,27,0.0021,70,0.0024
ANY_HIGH_RISK,ANY_HIGH_RISK,6,1159,0.0892,3326,0.1117
