category,max_rule_severity,contents,content_share,occurrences,occurrence_share,content_ci_low,content_ci_high,high_risk_contents,high_risk_share,high_risk_ci_low,high_risk_ci_high,high_risk_occurrences,high_risk_occurrence_share
TOOL_GRANT,6,1287,0.0993,3222,0.1086,0.0942,0.1045,511,0.0394,0.0362,0.0429,1121,0.0378
DESTRUCTIVE,6,173,0.0133,726,0.0245,0.0115,0.0155,173,0.0133,0.0115,0.0155,726,0.0245
PRIVILEGE,6,207,0.016,1196,0.0403,0.0139,0.0183,140,0.0108,0.0092,0.0127,817,0.0275
OVERSIGHT_BYPASS,8,109,0.0084,219,0.0074,0.007,0.0101,109,0.0084,0.007,0.0101,219,0.0074
DYNAMIC_EXEC,6,100,0.0077,347,0.0117,0.0063,0.0094,100,0.0077,0.0063,0.0094,347,0.0117
PERSISTENCE,7,91,0.007,512,0.0173,0.0057,0.0086,91,0.007,0.0057,0.0086,512,0.0173
REMOTE_CODE,9,73,0.0056,170,0.0057,0.0045,0.0071,73,0.0056,0.0045,0.0071,170,0.0057
CREDENTIALS,8,1000,0.0771,2702,0.091,0.0727,0.0818,65,0.005,0.0039,0.0064,252,0.0085
OBFUSCATION,7,27,0.0021,70,0.0024,0.0014,0.003,27,0.0021,0.0014,0.003,70,0.0024
NETWORK,7,855,0.0659,2610,0.0879,0.0618,0.0703,21,0.0016,0.0011,0.0025,79,0.0027
EXFIL_ENDPOINT,8,8,0.0006,10,0.0003,0.0003,0.0012,8,0.0006,0.0003,0.0012,10,0.0003
SHELL,3,4351,0.3356,10921,0.368,0.3275,0.3438,0,0.0,0.0,0.0003,0,0.0
