rule_id,category,severity,contents,content_share,occurrences,occurrence_share,content_ci_low,content_ci_high
R-RCE-001,REMOTE_CODE,9,71,0.0055,168,0.0057,0.0043,0.0069
R-RCE-002,REMOTE_CODE,9,8,0.0006,17,0.0006,0.0003,0.0012
R-SHL-001,SHELL,3,4351,0.3356,10921,0.368,0.3275,0.3438
R-NET-001,NETWORK,4,851,0.0656,2587,0.0872,0.0615,0.07
R-NET-002,NETWORK,7,21,0.0016,79,0.0027,0.0011,0.0025
R-EXF-001,EXFIL_ENDPOINT,8,8,0.0006,10,0.0003,0.0003,0.0012
R-DST-001,DESTRUCTIVE,6,173,0.0133,726,0.0245,0.0115,0.0155
R-PRV-001,PRIVILEGE,6,140,0.0108,817,0.0275,0.0092,0.0127
R-PRV-002,PRIVILEGE,5,7,0.0005,198,0.0067,0.0003,0.0011
R-PRV-003,PRIVILEGE,3,76,0.0059,409,0.0138,0.0047,0.0073
R-CRD-001,CREDENTIALS,8,65,0.005,252,0.0085,0.0039,0.0064
R-CRD-002,CREDENTIALS,5,938,0.0723,2559,0.0862,0.068,0.0769
R-CRD-003,CREDENTIALS,4,41,0.0032,52,0.0018,0.0023,0.0043
R-TGR-001,TOOL_GRANT,6,511,0.0394,1121,0.0378,0.0362,0.0429
R-TGR-002,TOOL_GRANT,1,1282,0.0989,3215,0.1083,0.0939,0.1041
R-OVR-001,OVERSIGHT_BYPASS,8,109,0.0084,219,0.0074,0.007,0.0101
R-EXE-001,DYNAMIC_EXEC,6,100,0.0077,347,0.0117,0.0063,0.0094
R-PER-001,PERSISTENCE,7,91,0.007,512,0.0173,0.0057,0.0086
R-OBF-001,OBFUSCATION,7,27,0.0021,70,0.0024,0.0014,0.003
ANY_HIGH_RISK,ANY_HIGH_RISK,6,1159,0.0894,3326,0.1121,0.0846,0.0944
