term,coef,irr,irr_ci_low,irr_ci_high,p_value,n,status,note
const,-0.7918232146078973,0.45301809267901455,0.31916176636144583,0.6430137125576553,9.372483318024292e-06,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
high_risk,0.34438930675802715,1.411127890210557,1.2007709628854943,1.6583361724079158,2.8967146694813322e-05,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
log1p_body_chars,0.0741008911321798,1.0769154512345689,1.0337072501718045,1.121929723250952,0.0003900787309486824,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
has_scripts,-0.05980015402162394,0.941952760246407,0.8038833000093715,1.103736080256278,0.4596239395330237,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
log1p_stars,0.0011679394002044765,1.0011686217070308,0.9761142245660456,1.0268661022088568,0.928030271165834,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
location_canonical,1.8329419692065911,6.252253565301145,5.459064915344425,7.160690567159992,1.6139506513880344e-154,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
location_other,-0.7004461786297596,0.496363787462606,0.43843186222841984,0.5619505121091369,1.9171757349855593e-28,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_(none),0.251798341879128,1.2863366109042378,1.0601402497679315,1.5607952597921,0.010716025421006971,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_HTML,0.16113585281306111,1.1748445639118217,0.9751443532414908,1.4154414623486438,0.0900423871787128,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_JavaScript,-0.4107811632431591,0.6631320333868899,0.5507576093658099,0.7984348944541878,1.4506064172435955e-05,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_Rust,-1.3124382529512777,0.26916296823498975,0.1817935795819303,0.39852179398018334,5.5781067417603214e-11,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_Shell,-1.0024383385262494,0.366983519281341,0.29399968554900197,0.45808519547437165,7.955542646802893e-19,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_TypeScript,-0.4007609343859562,0.6698101704785394,0.5819180144764692,0.7709774458178966,2.3500167966032095e-08,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_Vue,1.5678121657455713,4.796143539619093,3.9016634615993784,5.895688615645114,3.9911758235793557e-50,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
language_other,-0.4791180020188389,0.6193293982613897,0.5224049341874382,0.7342367547646306,3.437729688275074e-08,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
alpha,5.816078765830154,,,,0.0,12965,ok,"NB2 (statsmodels discrete NegativeBinomial); outcome = copies - 1; baselines: location=skills-dir, language=Python; alpha=5.8161; converged=True"
