metric,value
script_files_with_text,5153
script_files_with_any_signal,805
script_files_with_high_risk_signal,303
skills_with_scanned_scripts,1326
skills_with_high_risk_script,200
script_files_high_risk_CREDENTIALS,20
script_files_high_risk_DESTRUCTIVE,68
script_files_high_risk_DYNAMIC_EXEC,131
script_files_high_risk_EXFIL_ENDPOINT,3
script_files_high_risk_NETWORK,14
script_files_high_risk_OBFUSCATION,18
script_files_high_risk_OVERSIGHT_BYPASS,17
script_files_high_risk_PERSISTENCE,17
script_files_high_risk_PRIVILEGE,31
script_files_high_risk_REMOTE_CODE,11
script_files_high_risk_TOOL_GRANT,1
script_files_without_text,2547
skills_with_truncated_listing,1755
skills_without_folder_listing,10
skills_with_unrecovered_content,0
script_files_with_text_excluding_truncated_listing,4955
script_files_with_any_signal_excluding_truncated_listing,732
script_files_with_high_risk_signal_excluding_truncated_listing,286
skills_with_scanned_scripts_excluding_truncated_listing,1250
skills_with_high_risk_script_excluding_truncated_listing,186
